Type,Name,X_Relative_Meters,Y_Relative_Meters
POI,engineering,0.0,0.0
POI,engineering1,10.78690799999503,-40.83588666718384
POI,engineering2,38.763479333961264,-152.41563333372625
POI,gte1,101.02475533375565,-191.21065333425477
POI,dent,141.85414833353778,-149.0389266672797
POI,1,137.54884733398652,-66.42093333371903
POI,addmetion,116.29043800053913,24.60171999918728
POI,gaate2,49.944645667302716,85.08558666580527
PATH,,0.0,0.0
PATH,,-0.015770332957352196,0.018553332891002583
PATH,,-0.03154066658703414,0.05565999946398392
PATH,,-0.07885166680375022,0.05565999946398392
PATH,,-0.17347366656485264,0.018553332891002583
PATH,,-0.22078466678156872,-0.018553333681978756
PATH,,-0.22078466678156872,-0.018553333681978756
PATH,,-0.2996363329129892,-0.055660000254960096
PATH,,-0.3784879997167394,-0.11132000090540828
PATH,,-0.3627176667593872,-0.7421333342280434
PATH,,-0.17347366656485264,-1.9852066671913349
PATH,,0.15770333360750044,-3.1540666674041518
PATH,,0.6308133334215071,-4.471353333513406
PATH,,1.2931673337662133,-6.104046667074954
PATH,,1.9239806668515556,-7.8666133340374245
PATH,,2.649416000706495,-9.796160000578311
PATH,,3.53255466716044,-12.078220000353497
PATH,,4.431463666571737,-14.545813333784565
PATH,,5.377683667208245,-17.21749333376252
PATH,,6.292363000249225,-20.16747333343332
PATH,,7.207042333626369,-23.395753333983436
PATH,,8.011329333276564,-26.698246667284025
PATH,,8.768305333382372,-30.260486667781947
PATH,,9.47797033360763,-33.878386667348366
PATH,,10.140324333280006,-37.4406266674508
PATH,,10.78690799999503,-40.83588666718384
PATH,,11.449262000675901,-44.08272000022947
PATH,,12.080075333761243,-46.99559333411827
PATH,,12.710888666846586,-49.5559533335863
PATH,,13.24708000050699,-51.98644000044439
PATH,,13.70441966702748,-54.231393333646594
PATH,,14.019826333570151,-56.34647333423885
PATH,,14.31946266715547,-58.27602000038425
PATH,,14.666410000285175,-60.00148000037825
PATH,,15.076438666588949,-61.4857466668569
PATH,,15.39184533313162,-63.06278000095446
PATH,,15.928036666792025,-64.88100666698543
PATH,,16.243443333334696,-67.03319333415067
PATH,,16.763864333701584,-69.4080200007538
PATH,,17.47352933392684,-72.04259333415877
PATH,,18.277816333577036,-74.69572000045474
PATH,,19.176725333660663,-77.49727333383362
PATH,,20.02832333386374,-80.59568000098281
PATH,,20.927232333275036,-83.60132000090857
PATH,,21.98384466730233,-86.73683333423526
PATH,,23.040457000321126,-90.00222000017189
PATH,,24.01821766687234,-93.45314000095087
PATH,,25.011748666717068,-97.10814666709027
PATH,,26.03682033314883,-100.8373666675621
PATH,,27.172284333307545,-104.75212000050334
PATH,,28.213126333705155,-108.77819333355902
PATH,,29.33282000057035,-112.9341400008066
PATH,,30.5944466670772,-117.20140666737763
PATH,,31.871843666877567,-121.46867333355317
PATH,,33.133470333384416,-125.56896000054579
PATH,,34.14277166685883,-129.520820000851
PATH,,34.931288333887835,-133.3242533336778
PATH,,35.625183000147246,-136.9607066669262
PATH,,36.14560400051413,-140.50439333334666
PATH,,36.79218766689299,-143.76978000046975
PATH,,37.423001000650665,-146.84963333354148
PATH,,38.10112533328039,-149.68829333349333
PATH,,38.763479333961264,-152.41563333372625
PATH,,39.50468500043739,-155.05020666713122
PATH,,40.41936433347837,-157.5178000005623
